LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
32.534722,-117.0436,31399999,,,,,,22.35,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,32.76,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,11.67,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,1069.2,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,16.12,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,12.32,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,22.9,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,22.35,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,29.11,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,87.5,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,65.42,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,11.12,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,25.75,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,22.03,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,20.33,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,1.55,9.11,,,,4.59,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,0.01,0.06,,,0.02,101.64,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,12.86,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,13.34,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31301001,153.44,0.11,12.86,12.2,1.27,0.48,3,29.9,2.0013,108,200.43,63.7,11.1,191.9
32.534722,-117.0436,39990001,0.41,2.41,0.07,0.07,,239.49,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,31399999,,,15.39,9.23,,0.04,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31400901,,,,,,29.08,7,20.9,1.706,291,37.72,16.5,0,24.9
32.534722,-117.0436,31499999,1.18,0.23,,,0.04,108.42,4,29.8,1.8044,141,37.08,14.5,1.7,106.5
32.534722,-117.0436,31499999,,,,,,16.3,4,29.8,1.8044,141,37.08,14.5,1.7,106.5
32.534722,-117.0436,30799901,,,,,,30.14,3,41,3.9042,145,323.25,27,14.3,211.2
32.534722,-117.0436,30702001,,,,,,164.24,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,194.13,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,146.19,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,0.02,,,,30.22,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,30.73,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,83.08,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,17.81,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,0.19,1.12,0.03,0.03,,129.03,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,105.56,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,30702001,,,,,,22.31,3,34.5,3.2152,107,296.48,36.5,16.5,219.2
32.534722,-117.0436,39990001,,,,,,19.29,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,0.72,4.25,0.13,0.13,,23.12,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,23.8,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,129.86,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,0.01,,,,13.04,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,14.41,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,31.14,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,30.93,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,0.01,0.05,,,,16.41,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,32.03,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,17.74,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,0.03,0.16,,,,52.82,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,20.8,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,59.84,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,18.32,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,18.48,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,30.66,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,18.8,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,19.97,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,37.04,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,0.67,3.93,0.12,0.12,,20.37,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,48.62,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,,,,,26.85,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,39990001,,0.02,,,,13.19,3,57.9,3.0839,368,226.45,30.3,5.4,161.2
32.534722,-117.0436,33000101,,,,,,287.35,4,36.6,2.9199,247,236.61,35.3,3.1,130.6
32.534722,-117.0436,33000101,,,,,,36.99,4,36.6,2.9199,247,236.61,35.3,3.1,130.6
32.534722,-117.0436,30610001,0.28,3.06,4.31,3.76,33.14,4.7,5,38.6,2.2965,294,147.25,35.5,0.2,58
32.354722,-117.0666,10100202,54.82,402.9412,447.3,439.45,6546.25,18.65,3,125,8.6056,319,2545.64,43.8,22.5,269.3
32.354722,-117.0666,10100202,54.82,402.9412,447.3,439.45,6546.25,18.65,3,125,8.6056,319,2545.64,43.8,22.5,269.3
32.354722,-117.0666,10100202,54.82,402.9412,447.3,439.45,6546.25,18.65,3,125,8.6056,319,2545.64,43.8,22.5,269.3
32.354722,-117.0666,10100202,54.82,402.9412,447.3,439.45,6546.25,18.65,2,125,11.482,319,3910.71,37.8,34.6,304.9
32.354722,-117.0666,10100202,94.89,697.537,,,,,2,328,12.5,319,7049.86,57.4,62.3,424.7
32.354722,-117.0666,10100202,94.89,697.537,,,,,2,328,12.5,319,7049.86,57.4,62.3,424.7
32.354722,-117.0666,10100202,59.86,440.0182,,,,,6,131,18.044,199,0,0,0,39.9
32.354722,-117.0666,10100202,59.86,440.0182,,,,,6,131,18.044,199,0,0,0,39.9
32.24939,-116.91,40400101,0.02,0.1,0.01,0.01,0.01,90.88,5,10.4,1.4763,67.7,4.66,2.7,0.3,58.9
26.783888,-101.4338,39999999,4.22,25.21,13.15,8.44,69.68,0.17,3,39.3,3.8057,194,253.79,22.3,7.4,171.8
